seconds_elapsed,gyroscope_z,gyroscope_y,gyroscope_x,gravity_z,gravity_y,gravity_x,magnetometerUncalibrated_z,magnetometerUncalibrated_y,magnetometerUncalibrated_x,magnetometer_z,magnetometer_y,magnetometer_x,gyroscopeUncalibrated_z,gyroscopeUncalibrated_y,gyroscopeUncalibrated_x,watchBarometer_relativeAltitude,watchBarometer_pressure,orientation_yaw,orientation_qx,orientation_qz,orientation_roll,orientation_qw,orientation_qy,orientation_pitch,accelerometerUncalibrated_z,accelerometerUncalibrated_y,accelerometerUncalibrated_x,barometer_relativeAltitude,barometer_pressure,accelerometer_z,accelerometer_y,accelerometer_x,heartRate_bpm,wristMotion_rotationRateX,wristMotion_rotationRateY,wristMotion_rotationRateZ,wristMotion_gravityX,wristMotion_gravityY,wristMotion_gravityZ,wristMotion_accelerationX,wristMotion_accelerationY,wristMotion_accelerationZ,wristMotion_quaternionW,wristMotion_quaternionX,wristMotion_quaternionY,wristMotion_quaternionZ
10.000000,-0.001233,-0.001099,-0.000009,-8.550486,-0.536152,-4.772012,-922.035105,-264.702018,-48.268850,-178.852710,-44.860524,-52.753085,-0.002828,-0.001073,0.002080,0.050000,100.899521,0.522904,-0.090623,-0.243411,-0.509039,-0.936325,0.236292,0.054700,-0.872916,-0.053032,-0.486554,0.134758,1009.336624,-0.009762,0.015692,0.000483,,0.033676,0.002123,0.005852,-0.832266,0.497893,0.243664,-0.004635,-0.001249,-0.008236,0.606086,-0.513436,-0.598503,-0.103972
11.000000,-0.000786,-0.000102,0.000020,-8.550476,-0.531041,-4.772603,-922.025126,-264.650030,-48.339425,-178.839227,-44.819918,-52.818352,-0.002681,-0.000574,0.002174,,,0.521943,-0.090272,-0.243024,-0.509093,-0.936425,0.236428,0.054178,-0.872717,-0.053205,-0.486931,0.190247,1009.329987,-0.007818,0.010095,-0.002625,93.000000,-0.009140,-0.005078,0.002002,-0.831833,0.501003,0.238844,-0.002215,0.000017,-0.002717,0.608250,-0.512925,-0.596933,-0.103001
12.000000,-0.000472,-0.000377,-0.000113,-8.550346,-0.528847,-4.773080,-921.915631,-264.580426,-48.313166,-178.726153,-44.743748,-52.782218,-0.002793,-0.001074,0.002093,0.160000,100.898628,0.521226,-0.090089,-0.242714,-0.509142,-0.936502,0.236512,0.053954,-0.872702,-0.053185,-0.486940,0.203457,1009.328308,-0.007701,0.007283,-0.002528,,-0.010093,0.000264,0.003185,-0.830824,0.500863,0.242627,-0.001196,0.000402,-0.000928,0.606349,-0.516179,-0.595709,-0.105006
13.000000,-0.000406,0.000209,-0.000160,-8.551347,-0.527147,-4.771475,-921.872775,-264.566845,-48.479591,-178.675274,-44.725509,-52.943982,-0.002786,-0.000464,0.002186,,,0.520856,-0.089941,-0.242571,-0.508949,-0.936566,0.236460,0.053780,-0.872910,-0.053119,-0.487056,0.211384,1009.327393,-0.007554,0.005710,-0.004533,,-0.008186,-0.001188,0.002606,-0.830073,0.500586,0.245748,-0.001374,0.000543,-0.000404,0.604837,-0.518394,-0.595096,-0.106288
14.000000,-0.000120,0.000028,0.000030,-8.551249,-0.525529,-4.771829,-922.026047,-264.603520,-48.359800,-178.815502,-44.753158,-52.824423,-0.002720,-0.000764,0.002209,,,0.520627,-0.089841,-0.242483,-0.508985,-0.936587,0.236508,0.053615,-0.872558,-0.053116,-0.486969,0.211384,1009.327393,-0.005969,0.004921,-0.004663,,-0.006019,-0.000585,0.001474,-0.829250,0.500112,0.249465,-0.001630,0.000609,-0.000608,0.603107,-0.520509,-0.594813,-0.107373
15.000000,-0.000039,-0.000008,0.000128,-8.551204,-0.525392,-4.771923,-921.988304,-264.637195,-48.367849,-178.792189,-44.781514,-52.832803,-0.002778,-0.001007,0.002198,0.190001,100.897591,0.520603,-0.089833,-0.242473,-0.508996,-0.936588,0.236516,0.053601,-0.872766,-0.053106,-0.487175,0.200817,1009.328690,-0.007553,0.004252,-0.006314,,-0.018789,0.000673,0.003605,-0.828085,0.499495,0.254507,-0.000409,0.000445,0.000008,0.600199,-0.526356,-0.591775,-0.111816
16.000000,0.000130,0.000185,0.000024,-8.551856,-0.524240,-4.770881,-921.991283,-264.717561,-48.336836,-178.788930,-44.866124,-52.801723,-0.002743,-0.000391,0.002131,,,0.520665,-0.089770,-0.242523,-0.508870,-0.936593,0.236470,0.053483,-0.872576,-0.053118,-0.487234,0.192890,1009.329758,-0.005608,0.003591,-0.006407,95.000000,0.059970,0.001820,0.002350,-0.827143,0.502865,0.250832,-0.003738,0.002942,-0.002812,0.602212,-0.524716,-0.591673,-0.109097
17.000000,0.000103,-0.000234,0.000063,-8.552018,-0.523402,-4.770684,-921.910773,-264.762249,-48.364644,-178.702992,-44.903745,-52.829422,-0.002855,-0.000576,0.002086,,,0.520743,-0.089736,-0.242571,-0.508845,-0.936585,0.236465,0.053398,-0.872764,-0.053178,-0.487060,0.171749,1009.332199,-0.006668,0.002701,-0.005831,,0.134598,-0.024867,-0.022287,-0.839755,0.526357,0.112776,-0.000788,-0.001035,0.002806,0.664124,-0.430195,-0.608054,-0.035259
18.000000,0.000083,-0.000090,-0.000085,-8.551218,-0.522525,-4.772214,-922.025455,-264.671780,-48.497297,-178.816623,-44.810755,-52.959884,-0.002923,-0.000600,0.002226,0.180000,100.897476,0.520787,-0.089721,-0.242595,-0.509021,-0.936557,0.236557,0.053308,-0.872444,-0.053117,-0.487115,0.166466,1009.332886,-0.004893,0.001786,-0.004845,,-0.023936,-0.023903,-0.009844,-0.832694,0.520195,0.189651,-0.005322,-0.003502,-0.007981,0.633861,-0.466711,-0.614003,-0.058193
19.000000,0.000222,0.000002,-0.000040,-8.550915,-0.521450,-4.772874,-922.036339,-264.712689,-48.559338,-178.835746,-44.850614,-53.022320,-0.002927,-0.000502,0.002030,,,0.520864,-0.089688,-0.242642,-0.509095,-0.936536,0.236602,0.053198,-0.872557,-0.053170,-0.487283,0.166466,1009.332886,-0.005777,-0.000276,-0.005850,,-0.044988,-0.000560,0.012656,-0.831579,0.501642,0.237948,-0.004741,-0.000583,-0.005247,0.613240,-0.480304,-0.623064,-0.070176
