time,seconds_elapsed,relativeAltitude,pressure
1727317817812841200,-0.54015869140625,0,1006.6166687011719
1727317818817313300,0.464313232421875,-0.005283355712890625,1006.6172790527344
1727317819821751300,1.468751220703125,-0.01056671142578125,1006.6179656982422
1727317820826186200,2.473186279296875,-0.044918060302734375,1006.6220092773438
1727317821830646300,3.477646240234375,-0.052845001220703125,1006.6229248046875
1727317822183399200,3.830399169921875,-0.060771942138671875,1006.6239166259766
1727317823254808000,4.90180810546875,-0.06341552734375,1006.6243743896484
1727317824326262300,5.97326220703125,-0.08719635009765625,1006.6271209716797
1727317825397711400,7.04471142578125,-0.08719635009765625,1006.6271209716797
1727317826469174300,8.11617431640625,-0.06341552734375,1006.6243743896484
1727317827540652300,9.18765234375,-0.02642059326171875,1006.6199493408203
1727317828612107300,10.259107177734375,-0.0026397705078125,1006.6169738769531
1727317829683568000,11.330568115234374,0.03699493408203125,1006.6121673583984
1727317830755005400,12.40200537109375,0.03699493408203125,1006.6121673583984
1727317831826426400,13.47342626953125,0.02114105224609375,1006.6142272949219
1727317832897830100,14.544830078125,0.018497467041015625,1006.6143035888672
1727317833969224200,15.61622412109375,0.00528717041015625,1006.6159820556641
1727317835040622300,16.687622314453126,0.00528717041015625,1006.6159820556641
1727317836112043300,17.759043212890624,0.0158538818359375,1006.6147613525391
1727317837183495200,18.8304951171875,0.03963470458984375,1006.6119384765625
1727317838254984400,19.901984375,0.05284881591796875,1006.6103363037109
1727317839326463200,20.973463134765623,0.06605911254882812,1006.6086578369141
1727317840397911300,22.044911376953124,0.07134246826171875,1006.6082000732422
1727317841469380400,23.11638037109375,0.07134246826171875,1006.6082000732422
1727317842540850400,24.187850341796874,0.06870269775390625,1006.6084289550781
1727317843612308200,25.25930810546875,0.06605911254882812,1006.6085815429688
1727317844683785200,26.33078515625,0.06605911254882812,1006.6085815429688
1727317845755200500,27.402200439453125,0.0792694091796875,1006.6072845458984
1727317846826616300,28.4736162109375,0.08983993530273438,1006.6059112548828
1727317847898004200,29.545004150390625,0.10305023193359375,1006.6043853759766
1727317848969428200,30.61642822265625,0.11626434326171875,1006.6028594970703
1727317850040875300,31.687875244140624,0.11626434326171875,1006.6028594970703
1727317851112333300,32.75933325195312,0.11362075805664062,1006.6029357910156
1727317852183765200,33.83076513671875,0.10833740234375,1006.6037750244141
1727317853255203300,34.90220336914062,0.10569381713867188,1006.6041564941406
1727317854326679300,35.97367919921875,0.10041046142578125,1006.6045379638672
1727317855398162400,37.04516235351562,0.09776687622070312,1006.6048431396484
1727317856469609200,38.11660913085937,0.09776687622070312,1006.6049957275391
1727317857541053200,39.18805322265625,0.095123291015625,1006.605224609375
1727317858612492300,40.2594921875,0.08719635009765625,1006.6060638427734
1727317859683958300,41.33095825195313,0.08191299438476562,1006.6069030761719
1727317860755363300,42.40236328125,0.076629638671875,1006.6075897216797
1727317861826765300,43.473765380859376,0.06870269775390625,1006.6084289550781
1727317862898201300,44.54520141601562,0.06341552734375,1006.6090393066406
1727317863969630200,45.616630126953126,0.06341552734375,1006.6091918945312
1727317865041086200,46.68808618164063,0.06341552734375,1006.6090393066406
1727317866112491300,47.7594912109375,0.0607757568359375,1006.6094207763672
1727317867183888100,48.83088818359375,0.0607757568359375,1006.6094207763672
1727317868255304400,49.90230444335938,0.058132171630859375,1006.6098785400391
1727317869326724400,50.973724365234375,0.058132171630859375,1006.6098785400391
1727317870398157300,52.0451572265625,0.044921875,1006.6111755371094
1727317871469613300,53.11661328125,0.044921875,1006.6111755371094
1727317872541034200,54.1880341796875,0.19289016723632812,1006.5937042236328
1727317873612471300,55.25947119140625,0.91424560546875,1006.5073394775391
1727317874683923200,56.33092309570313,2.2116241455078125,1006.3522338867188
1727317875755395000,57.40239501953125,3.28704833984375,1006.2237548828125
1727317876826868200,58.4738681640625,3.509002685546875,1006.1974334716797
1727317877898309000,59.54530908203125,3.593555450439453,1006.1872863769531
1727317878969729300,60.61672924804687,4.705974578857422,1006.0544586181641
1727317880041174300,61.68817431640625,7.298088073730469,1005.7447814941406
1727317881112603100,62.75960302734375,9.076370239257812,1005.5324554443359
1727317882184030200,63.8310302734375,11.726615905761719,1005.2159881591797
1727317883255467300,64.90246728515625,14.944961547851562,1004.8320770263672
1727317884326934300,65.97393432617187,14.944961547851562,1004.8320770263672
1727317885398388500,67.04538842773438,11.015830993652344,1005.3009033203125
1727317886469827000,68.1168271484375,9.026168823242188,1005.5384826660156
1727317887541223200,69.18822314453125,8.735511779785156,1005.5731201171875
1727317888612660200,70.25966015625,8.394649505615234,1005.6138610839844
1727317889684055300,71.33105517578124,8.394649505615234,1005.6138610839844
1727317890755499300,72.40249926757812,8.394649505615234,1005.6138610839844
1727317891826913300,73.47391333007812,8.238754272460938,1005.6324005126953
1727317892898331400,74.54533129882813,6.370635986328125,1005.8555603027344
1727317893969748200,75.61674829101563,5.057399749755859,1006.0123443603516
1727317895041153300,76.6881533203125,5.057399749755859,1006.0123443603516
1727317896112579300,77.75957934570313,6.928165435791016,1005.7890319824219
1727317897183987500,78.83098754882812,10.178215026855469,1005.4010772705078
1727317898255397400,79.9023974609375,13.021354675292969,1005.0614929199219
1727317899326802200,80.97380224609375,14.873619079589844,1004.8404693603516
1727317900398253300,82.04525341796875,15.925262451171875,1004.7151184082031
1727317901469738200,83.11673828125,15.925262451171875,1004.7151184082031
1727317902541177300,84.18817724609374,15.362449645996094,1004.7824096679688
1727317903612630300,85.25963037109375,13.169326782226562,1005.0440216064453
1727317904684067300,86.3310673828125,9.866424560546875,1005.4383087158203
