time,seconds_elapsed,relativeAltitude,pressure
1727317824460127000,6.107126953125,0.019999980926513672,100.63162994384766
1727317826922828000,8.569828125,-0.009999752044677734,100.63165283203125
1727317829497684000,11.14468408203125,0.09000015258789062,100.63163757324219
1727317832112505900,13.759505859375,0.13000011444091797,100.631103515625
1727317834644096800,16.2910966796875,0.1100001335144043,100.63111114501953
1727317837224300000,18.871300048828125,0.09000015258789062,100.6319808959961
1727317839796806000,21.443805908203124,0.1399998664855957,100.63095092773438
1727317842373822000,24.020822021484374,0.16000032424926758,100.62997436523438
1727317844942530000,26.589530029296874,0.16000032424926758,100.63015747070312
1727317847590774000,29.23777392578125,0.1700000762939453,100.63047790527344
1727317850142317000,31.789317138671876,0.20000028610229492,100.62985229492188
1727317852662120000,34.309119873046875,0.21000003814697266,100.62890625
1727317855243443000,36.89044287109375,0.19000005722045898,100.62908172607422
1727317857879128800,39.52612890625,0.19000005722045898,100.6295394897461
1727317860405405000,42.05240502929688,0.18000030517578125,100.62982177734375
1727317862956388000,44.60338818359375,0.16000032424926758,100.62975311279297
1727317865530921000,47.1779208984375,0.15000009536743164,100.6297836303711
1727317868106059000,49.75305908203125,0.15000009536743164,100.62982940673828
1727317870699155000,52.346155029296874,0.15000009536743164,100.63002014160156
1727317873256776000,54.90377587890625,0.13000011444091797,100.63019561767578
1727317875835933000,57.48293286132812,1.5799999237060547,100.62931060791016
1727317878404713200,60.05171313476563,3.6500000953674316,100.5915298461914
1727317880991489000,62.63848901367187,5.139999866485596,100.58627319335938
1727317883620856000,65.26785595703124,10.670000076293945,100.53070831298828
1727317886139860200,67.78686010742187,15.520000457763672,100.46809387207031
1727317888724678100,70.37167822265624,9.079999923706055,100.52666473388672
1727317891273086000,72.9200859375,8.25,100.54766845703125
1727317893854090000,75.50109008789063,8.280000686645508,100.53263092041016
1727317896431979000,78.07897900390626,4.940000057220459,100.57164001464844
1727317899029245000,80.67624487304687,10.389999389648438,100.56608581542969
1727317901594458000,83.2414580078125,15.239999771118164,100.46700286865234
1727317904175996000,85.82299584960937,15.84000015258789,100.44373321533203
1727317906726478000,88.37347802734375,9.370000839233398,100.48848724365234
1727317909302317000,90.94931713867187,6.37000036239624,100.55787658691406
1727317911907064000,93.55406396484375,5.990000247955322,100.57483673095703
1727317914466002000,96.113001953125,4.889999866485596,100.56918334960938
1727317917051657000,98.69865698242188,4.509999752044678,100.5907974243164
1727317919597090000,101.24409008789063,2.2100000381469727,100.60718536376953
1727317922172896000,103.81989599609375,2.5199999809265137,100.61194610595703
1727317924734355000,106.38135498046876,4.71999979019165,100.60213470458984
1727317927314640100,108.96164013671876,5.7900004386901855,100.57068634033203
1727317929885457200,111.53245703125,4.099999904632568,100.57650756835938
1727317932460664000,114.1076640625,0.9200000762939453,100.60453796386719
1727317935030256000,116.67725610351563,1.2800002098083496,100.62487030029297
1727317937621546000,119.2685458984375,1.75,100.62248992919922
1727317940186541000,121.833541015625,0.9800000190734863,100.61293029785156
1727317942752274000,124.39927392578124,0.5,100.6197280883789
1727317945332574000,126.97957397460938,-0.19999980926513672,100.62518310546875
1727317947917700000,129.5647001953125,-0.45999979972839355,100.63434600830078
