time,seconds_elapsed,z,y,x
1727317818380314400,0.027314453125,-944.5629272460938,-266.7557067871094,-2.9862060546875
1727317818390125300,0.037125244140625,-944.3348388671875,-266.7802734375,-2.8816986083984375
1727317818399937300,0.046937255859375,-944.6559448242188,-266.618408203125,-3.03875732421875
1727317818409748200,0.056748291015625,-944.4657592773438,-266.58404541015625,-3.0652313232421875
1727317818419559200,0.06655908203125,-944.6370849609375,-266.7919006347656,-3.1734771728515625
1727317818429370400,0.076370361328125,-944.8167724609375,-266.8526916503906,-3.0772857666015625
1727317818439182300,0.086182373046875,-944.5792236328125,-266.8948974609375,-3.190643310546875
1727317818448994300,0.095994384765625,-945.0516357421875,-266.60791015625,-3.236297607421875
1727317818458806300,0.10580615234375,-944.6572265625,-266.7354736328125,-3.2894744873046875
1727317818468617500,0.115617431640625,-944.8252563476562,-266.667724609375,-3.1708526611328125
1727317818478430200,0.12543017578125,-944.7825927734375,-266.91241455078125,-3.02618408203125
1727317818488241400,0.135241455078125,-944.6279296875,-266.8238830566406,-3.0372772216796875
1727317818498052400,0.14505224609375,-945.118896484375,-266.5782165527344,-3.1700439453125
1727317818507864300,0.1548642578125,-944.6484985351562,-266.8963623046875,-3.095001220703125
1727317818517675500,0.164675537109375,-944.8862915039062,-266.712158203125,-3.1057891845703125
1727317818527487200,0.1744873046875,-944.5697021484375,-266.6558532714844,-3.1568756103515625
1727317818537298400,0.18429833984375,-944.6799926757812,-266.61083984375,-3.2112274169921875
1727317818547109400,0.194109375,-944.519287109375,-266.5669250488281,-2.9746551513671875
1727317818556920300,0.20392041015625,-944.5614624023438,-266.64923095703125,-3.1371612548828125
1727317818566730200,0.213730224609375,-944.3153686523438,-266.71026611328125,-3.1104736328125
1727317818576541400,0.22354150390625,-944.364990234375,-266.80712890625,-2.91162109375
1727317818586353400,0.233353515625,-944.4127807617188,-266.60577392578125,-2.9315338134765625
1727317818596164400,0.243164306640625,-944.4197998046875,-266.7915954589844,-2.7939605712890625
1727317818605975300,0.252975341796875,-944.7579345703125,-266.86285400390625,-2.953216552734375
1727317818615786200,0.2627861328125,-944.5451049804688,-266.59649658203125,-2.9835968017578125
1727317818625598500,0.272598388671875,-944.6173095703125,-266.97039794921875,-2.8795318603515625
1727317818635409400,0.282409423828125,-944.8232421875,-266.7137756347656,-2.893951416015625
1727317818645220400,0.292220458984375,-944.5531005859375,-266.698486328125,-3.0137786865234375
1727317818655032300,0.3020322265625,-944.7728881835938,-266.72760009765625,-3.0140533447265625
1727317818664844300,0.31184423828125,-944.5993041992188,-266.5994873046875,-3.14501953125
1727317818674656500,0.321656494140625,-944.6111450195312,-266.9822998046875,-2.93206787109375
1727317818684467200,0.33146728515625,-944.8319091796875,-266.65313720703125,-2.876129150390625
1727317818694280400,0.341280517578125,-944.5235595703125,-266.66351318359375,-2.9225921630859375
1727317818704091400,0.35109130859375,-944.4434204101562,-266.68988037109375,-2.9427642822265625
1727317818713903400,0.3609033203125,-944.5618286132812,-266.61785888671875,-2.819915771484375
1727317818723716400,0.37071630859375,-944.73583984375,-266.636474609375,-3.0015716552734375
1727317818733527300,0.38052734375,-945.0286865234375,-266.603759765625,-2.8730010986328125
1727317818743339300,0.39033935546875,-944.3502197265625,-266.776611328125,-2.974029541015625
1727317818753150200,0.400150146484375,-944.80517578125,-266.74017333984375,-2.9801025390625
1727317818762962400,0.40996240234375,-944.57080078125,-266.693603515625,-2.99212646484375
1727317818772774100,0.419774169921875,-944.5352172851562,-266.7949523925781,-2.9597930908203125
1727317818782586400,0.42958642578125,-944.5436401367188,-266.6324462890625,-2.8803863525390625
1727317818792399400,0.4393994140625,-944.3274536132812,-266.7670593261719,-2.787811279296875
1727317818802211300,0.44921142578125,-944.394287109375,-266.59771728515625,-3.178619384765625
1727317818812023300,0.459023193359375,-944.44873046875,-266.600830078125,-2.9425048828125
1727317818821835300,0.468835205078125,-944.4773559570312,-266.602294921875,-3.175384521484375
1727317818831647500,0.4786474609375,-944.5536499023438,-266.5630798339844,-2.94171142578125
1727317818841459200,0.488459228515625,-944.64306640625,-266.8422546386719,-2.821533203125
1727317818851271400,0.498271484375,-944.578125,-266.75555419921875,-3.0015411376953125
1727317818861083400,0.50808349609375,-944.3927612304688,-266.63995361328125,-2.9893798828125
1727317818870895400,0.517895263671875,-944.5367431640625,-266.81292724609375,-2.8885345458984375
1727317818880707300,0.527707275390625,-944.458251953125,-266.59466552734375,-2.9825897216796875
1727317818890520300,0.537520263671875,-944.4890747070312,-266.9083557128906,-2.9165496826171875
1727317818900333300,0.547333251953125,-944.4863891601562,-266.62396240234375,-2.98321533203125
1727317818910145300,0.557145263671875,-944.36083984375,-266.8353271484375,-2.892852783203125
1727317818919958300,0.566958251953125,-944.6685180664062,-266.638427734375,-3.0807647705078125
1727317818929770200,0.576770263671875,-944.681884765625,-266.5789489746094,-3.2184906005859375
1727317818939582500,0.58658251953125,-944.4614868164062,-266.7195129394531,-3.05010986328125
1727317818949394200,0.596394287109375,-944.7702026367188,-266.50946044921875,-3.019683837890625
1727317818959205400,0.606205322265625,-944.3426513671875,-266.58343505859375,-3.1405792236328125
1727317818969017300,0.616017333984375,-944.7348022460938,-266.5452880859375,-2.9846649169921875
1727317818978828500,0.62582861328125,-944.4425048828125,-266.6107177734375,-2.88970947265625
1727317818988639200,0.63563916015625,-944.7612915039062,-266.61883544921875,-2.8136138916015625
1727317818998450200,0.6454501953125,-944.697265625,-266.55767822265625,-2.819610595703125
1727317819008261400,0.655261474609375,-944.491455078125,-266.6388244628906,-2.9404296875
1727317819018072300,0.665072265625,-944.4664306640625,-266.539306640625,-3.078399658203125
1727317819027883300,0.67488330078125,-944.4144287109375,-266.5622253417969,-3.090667724609375
1727317819037694200,0.684694091796875,-944.654052734375,-266.78167724609375,-3.0045623779296875
1727317819047505400,0.69450537109375,-944.4724731445312,-266.52105712890625,-2.8737945556640625
1727317819057317400,0.7043173828125,-944.7437744140625,-266.63641357421875,-2.9723663330078125
1727317819067128300,0.71412841796875,-944.733154296875,-266.4815673828125,-2.992523193359375
1727317819076939300,0.723939208984375,-944.5028076171875,-266.55615234375,-2.9172210693359375
1727317819086750200,0.733750244140625,-944.77978515625,-266.5357666015625,-3.0402984619140625
1727317819096561400,0.7435615234375,-944.967529296875,-266.49468994140625,-2.9911651611328125
1727317819106374000,0.753373779296875,-944.5342407226562,-266.73529052734375,-2.7935638427734375
1727317819116184800,0.763184814453125,-944.7706909179688,-266.6473388671875,-3.0257415771484375
1727317819125995800,0.772995849609375,-944.3587036132812,-266.5696716308594,-3.1397857666015625
1727317819135806000,0.782805908203125,-944.7317504882812,-266.74456787109375,-3.1464385986328125
1727317819145616000,0.792615966796875,-944.539794921875,-266.57244873046875,-2.95416259765625
1727317819155426800,0.8024267578125,-944.5726318359375,-266.74932861328125,-2.8287506103515625
1727317819165238800,0.81223876953125,-944.4771728515625,-266.5277099609375,-3.0972137451171875
1727317819175049700,0.8220498046875,-944.3823852539062,-266.5450744628906,-3.0496978759765625
1727317819184861000,0.83186083984375,-944.8671875,-266.37860107421875,-2.872955322265625
1727317819194671900,0.841671875,-944.5747680664062,-266.6676025390625,-2.7998199462890625
1727317819204483800,0.85148388671875,-944.7366333007812,-266.608154296875,-2.8482208251953125
1727317819214294800,0.861294677734375,-944.6214599609375,-266.529052734375,-2.86474609375
1727317819224105700,0.871105712890625,-944.4711303710938,-266.67315673828125,-2.793304443359375
1727317819233916700,0.880916748046875,-944.6041259765625,-266.5396728515625,-3.0117340087890625
1727317819243729000,0.89072900390625,-944.7913208007812,-266.75128173828125,-2.9735260009765625
1727317819253539800,0.900539794921875,-944.8834838867188,-266.4930419921875,-2.998291015625
1727317819263351800,0.910351806640625,-944.7430419921875,-266.5986022949219,-3.1121063232421875
1727317819273162800,0.920162841796875,-944.5029907226562,-266.7188720703125,-2.8781280517578125
1727317819282973700,0.9299736328125,-944.978271484375,-266.34100341796875,-2.9697113037109375
1727317819292786000,0.939785888671875,-944.58251953125,-266.73773193359375,-3.063262939453125
1727317819302598000,0.949597900390625,-944.9886474609375,-266.48529052734375,-2.9942626953125
1727317819312408800,0.959408935546875,-944.600830078125,-266.54852294921875,-2.9920654296875
1727317819322219800,0.9692197265625,-944.914306640625,-266.6936950683594,-2.8752288818359375
1727317819332031700,0.97903173828125,-944.8258056640625,-266.69146728515625,-2.8217926025390625
1727317819341843000,0.988843017578125,-944.6641845703125,-266.8879089355469,-2.9892120361328125
1727317819351654700,0.998654541015625,-944.8577270507812,-266.4438781738281,-3.1652679443359375
1727317819361465900,1.0084658203125,-944.4654541015625,-266.81573486328125,-2.958099365234375
1727317819371276800,1.01827685546875,-944.80126953125,-266.6788330078125,-3.131683349609375
1727317819381087700,1.028087646484375,-944.6700439453125,-266.4447021484375,-3.26776123046875
1727317819390899000,1.03789892578125,-944.5931396484375,-266.8104248046875,-3.0046234130859375
1727317819400710000,1.0477099609375,-944.6280517578125,-266.61859130859375,-3.030517578125
1727317819410521900,1.05752197265625,-944.8397827148438,-266.55206298828125,-3.004425048828125
1727317819420332800,1.067332763671875,-944.8570556640625,-266.5123291015625,-2.900360107421875
1727317819430144800,1.077144775390625,-944.5049438476562,-266.5074157714844,-3.0480194091796875
1727317819439957000,1.08695703125,-944.5908813476562,-266.80902099609375,-2.875213623046875
1727317819449768700,1.096768798828125,-944.7965087890625,-266.711669921875,-2.877197265625
1727317819459581000,1.106580810546875,-944.708251953125,-266.8653564453125,-2.887664794921875
1727317819469392000,1.116391845703125,-944.4871215820312,-266.78216552734375,-3.007415771484375
1727317819479203800,1.126203857421875,-944.5428466796875,-266.56591796875,-3.0070037841796875
1727317819489014800,1.136014892578125,-944.57421875,-266.69775390625,-2.8285369873046875
1727317819498826800,1.14582666015625,-944.5848388671875,-266.50921630859375,-3.09210205078125
1727317819508636700,1.15563671875,-944.6315307617188,-266.9476318359375,-2.838470458984375
1727317819518449000,1.165448974609375,-944.9983520507812,-266.6307373046875,-3.0920562744140625
1727317819528260600,1.175260498046875,-944.7286376953125,-266.787353515625,-2.8516693115234375
1727317819538071800,1.18507177734375,-945.0951538085938,-266.7322082519531,-2.8741455078125
1727317819547881700,1.1948818359375,-944.6685180664062,-266.95330810546875,-2.9000396728515625
1727317819557693700,1.204693603515625,-944.852783203125,-267.025390625,-2.9244384765625
1727317819567505000,1.2145048828125,-944.8975830078125,-266.6939392089844,-3.0478363037109375
1727317819577315800,1.22431591796875,-944.8605346679688,-266.8299865722656,-2.8453521728515625
1727317819587126800,1.234126708984375,-944.8408203125,-266.767822265625,-2.84814453125
1727317819596938000,1.24393798828125,-944.9552612304688,-266.69622802734375,-2.8241729736328125
1727317819606749700,1.253749755859375,-944.777099609375,-266.9185791015625,-2.8843994140625
1727317819616561000,1.263560791015625,-944.9686889648438,-266.89215087890625,-2.8105926513671875
1727317819626371800,1.273371826171875,-944.6656494140625,-266.8919372558594,-2.7242584228515625
1727317819636184800,1.283184814453125,-944.70361328125,-266.83270263671875,-2.8427581787109375
1727317819645996800,1.292996826171875,-944.8626098632812,-266.83404541015625,-2.8597564697265625
1727317819655809000,1.30280908203125,-944.5827026367188,-266.80029296875,-2.9365692138671875
1727317819665620700,1.312620849609375,-944.7862548828125,-266.65155029296875,-3.0776824951171875
1727317819675431700,1.322431640625,-944.8244018554688,-267.0220031738281,-2.812347412109375
1727317819685243000,1.332242919921875,-945.0170288085938,-266.8321533203125,-2.9020233154296875
1727317819695054800,1.342054931640625,-944.658935546875,-267.0372619628906,-2.9237518310546875
1727317819704867800,1.351867919921875,-944.6860961914062,-266.93572998046875,-3.0301055908203125
1727317819714679800,1.3616796875,-944.79248046875,-266.88275146484375,-3.048980712890625
1727317819724491800,1.37149169921875,-945.0548706054688,-266.98809814453125,-3.032440185546875
1727317819734303700,1.3813037109375,-944.79541015625,-266.873046875,-3.0536346435546875
1727317819744115700,1.39111572265625,-944.824462890625,-266.97869873046875,-3.119049072265625
1727317819753926700,1.4009267578125,-944.7216796875,-266.89996337890625,-2.9313812255859375
1727317819763739000,1.41073876953125,-944.783447265625,-266.7923583984375,-2.89996337890625
1727317819773550800,1.42055078125,-944.5242309570312,-267.1946105957031,-2.770904541015625
1727317819783361800,1.43036181640625,-944.780517578125,-266.90850830078125,-2.830322265625
1727317819793172700,1.4401728515625,-944.59130859375,-267.0199279785156,-2.8917694091796875
1727317819802983700,1.449983642578125,-944.646240234375,-266.9846496582031,-2.903228759765625
1727317819812796000,1.4597958984375,-944.5950927734375,-266.8687744140625,-3.0380859375
1727317819822608000,1.46960791015625,-944.7149658203125,-266.9390869140625,-2.8075714111328125
1727317819832419800,1.479419921875,-944.5816650390625,-266.9000244140625,-3.00360107421875
1727317819842230800,1.489230712890625,-944.83740234375,-266.82550048828125,-2.81695556640625
1727317819852041700,1.499041748046875,-944.7765502929688,-266.74285888671875,-2.9109954833984375
1727317819861853000,1.50885302734375,-944.5557861328125,-266.7817687988281,-3.1104583740234375
1727317819871663900,1.518663818359375,-944.8053588867188,-266.982666015625,-2.888275146484375
1727317819881474800,1.528474853515625,-944.61083984375,-266.6043701171875,-3.0284423828125
1727317819891286000,1.5382861328125,-944.6436767578125,-267.118408203125,-2.8046417236328125
1727317819901096700,1.5480966796875,-944.9381713867188,-266.8338623046875,-2.928497314453125
1727317819910907000,1.557906982421875,-944.781494140625,-266.7543640136719,-2.8876190185546875
1727317819920717800,1.5677177734375,-944.8582763671875,-266.81866455078125,-2.9356536865234375
1727317819930529800,1.57752978515625,-944.9285278320312,-266.66448974609375,-2.7591094970703125
1727317819940341800,1.587341796875,-944.5448608398438,-266.960205078125,-2.9629058837890625
1727317819950153700,1.59715380859375,-944.5638427734375,-266.7108154296875,-2.895965576171875
1727317819959966000,1.606966064453125,-944.8223876953125,-266.92449951171875,-2.9421539306640625
1727317819969778000,1.61677783203125,-944.5536499023438,-266.942626953125,-3.0089874267578125
1727317819979588900,1.6265888671875,-944.5653686523438,-266.6141357421875,-3.1640777587890625
1727317819989400800,1.63640087890625,-944.631591796875,-266.93475341796875,-2.9307403564453125
1727317819999212800,1.646212890625,-944.7578735351562,-266.6405029296875,-2.98297119140625
1727317820009024000,1.65602392578125,-944.3858642578125,-266.976806640625,-2.95843505859375
1727317820018835700,1.665835693359375,-944.4629516601562,-266.6780700683594,-2.9507904052734375
1727317820028647000,1.67564697265625,-944.5220947265625,-266.82684326171875,-2.98345947265625
1727317820038456800,1.685456787109375,-944.605712890625,-266.7205810546875,-2.8375701904296875
1727317820048268800,1.695268798828125,-944.6602783203125,-266.4769287109375,-3.1661834716796875
1727317820058079700,1.705079833984375,-944.38427734375,-266.6250915527344,-2.9915008544921875
1727317820067891000,1.714890869140625,-944.1998901367188,-266.54962158203125,-2.9537200927734375
1727317820077702000,1.724701904296875,-944.268310546875,-266.6846923828125,-3.006439208984375
1727317820087513900,1.734513916015625,-944.321533203125,-266.7672119140625,-3.0127105712890625
1727317820097324800,1.74432470703125,-944.475830078125,-266.81317138671875,-3.07476806640625
1727317820107134500,1.754134521484375,-944.237060546875,-266.9693603515625,-2.987213134765625
1727317820116944400,1.7639443359375,-944.7097778320312,-266.66259765625,-3.07232666015625
1727317820126755300,1.77375537109375,-944.530029296875,-266.8932800292969,-3.00567626953125
1727317820136567300,1.7835673828125,-944.4190673828125,-266.80364990234375,-2.8124237060546875
1727317820146377200,1.793377197265625,-944.3898315429688,-266.8228759765625,-3.0022430419921875
1727317820156189400,1.803189453125,-944.23876953125,-266.9332275390625,-2.865020751953125
1727317820165999400,1.812999267578125,-944.5896606445312,-266.69891357421875,-2.918548583984375
1727317820175810300,1.822810302734375,-944.2423095703125,-266.87835693359375,-2.8801116943359375
1727317820185621200,1.832621337890625,-944.80615234375,-266.65386962890625,-2.914337158203125
1727317820195432400,1.842432373046875,-944.3551025390625,-266.78656005859375,-2.979400634765625
1727317820205243400,1.852243408203125,-944.8216552734375,-266.9150695800781,-2.947845458984375
1727317820215054300,1.862054443359375,-944.5557861328125,-266.6761779785156,-2.884033203125
1727317820224866300,1.8718662109375,-944.54541015625,-266.7747802734375,-2.8128814697265625
1727317820234676500,1.881676513671875,-944.4989013671875,-266.85101318359375,-2.8264617919921875
1727317820244486400,1.891486328125,-944.6456298828125,-266.86407470703125,-3.0033721923828125
1727317820254296300,1.90129638671875,-944.6510009765625,-266.62554931640625,-2.71795654296875
1727317820264107300,1.911107177734375,-944.56787109375,-266.84429931640625,-2.7685089111328125
1727317820273919200,1.920919189453125,-944.4710083007812,-266.9195556640625,-2.845458984375
1727317820283730200,1.930730224609375,-944.5747680664062,-266.6252136230469,-2.9222412109375
1727317820293541400,1.940541259765625,-944.2918090820312,-266.9383544921875,-2.8452301025390625
1727317820303354400,1.950354248046875,-944.336181640625,-266.8345947265625,-2.914306640625
1727317820313167400,1.96016748046875,-944.2275390625,-266.79296875,-2.9763641357421875
1727317820322979300,1.969979248046875,-944.3773803710938,-267.0134582519531,-2.881744384765625
1727317820332791300,1.979791259765625,-944.3040161132812,-266.5479431152344,-3.048828125
1727317820342603500,1.989603515625,-944.074951171875,-266.9142761230469,-2.9856414794921875
1727317820352414500,1.99941455078125,-944.7761840820312,-266.66326904296875,-2.9013214111328125
1727317820362225400,2.009225341796875,-944.51708984375,-266.84967041015625,-2.834716796875
1727317820372037400,2.019037353515625,-944.6602783203125,-267.05889892578125,-2.8571014404296875
1727317820381849300,2.028849365234375,-944.482177734375,-266.83892822265625,-2.8260345458984375
1727317820391661300,2.038661376953125,-944.4552001953125,-267.1126403808594,-2.813079833984375
1727317820401473300,2.048473388671875,-944.5431518554688,-266.75811767578125,-2.8963165283203125
1727317820411283200,2.058283203125,-944.9607543945312,-266.93756103515625,-2.8377685546875
1727317820421095400,2.068095458984375,-944.57421875,-267.1168212890625,-2.8541107177734375
1727317820430906400,2.07790625,-944.5311279296875,-266.7742919921875,-2.8958892822265625
1727317820440718300,2.08771826171875,-944.4609985351562,-267.06671142578125,-2.7312774658203125
1727317820450529300,2.097529296875,-944.4920043945312,-266.74871826171875,-3.05706787109375
1727317820460341200,2.10734130859375,-944.5385131835938,-266.945068359375,-2.881072998046875
1727317820470153200,2.1171533203125,-944.44140625,-266.83892822265625,-3.035247802734375
1727317820479964200,2.126964111328125,-944.284423828125,-266.92828369140625,-2.8638763427734375
1727317820489776400,2.1367763671875,-944.2335815429688,-266.8246765136719,-2.672271728515625
1727317820499588400,2.14658837890625,-944.5472412109375,-266.82373046875,-2.840362548828125
1727317820509400300,2.156400390625,-944.5010375976562,-267.1756591796875,-2.882080078125
1727317820519212300,2.16621240234375,-944.8414306640625,-266.9750671386719,-2.939971923828125
1727317820529024300,2.176024169921875,-944.6297607421875,-266.8380432128906,-2.667510986328125
1727317820538835200,2.185835205078125,-944.507568359375,-266.9649658203125,-2.8133087158203125
1727317820548646100,2.195646240234375,-944.4461669921875,-266.70355224609375,-2.99664306640625
1727317820558458400,2.205458251953125,-944.6358032226562,-266.82659912109375,-2.951019287109375
1727317820568269300,2.215269287109375,-944.556396484375,-266.6600341796875,-2.853973388671875
1727317820578081300,2.225081298828125,-944.6445922851562,-266.7738342285156,-2.957000732421875
1727317820587893200,2.234893310546875,-944.324462890625,-266.7962646484375,-2.905487060546875
1727317820597705500,2.24470556640625,-944.61572265625,-266.6276550292969,-2.7998199462890625
1727317820607516400,2.254516357421875,-944.5438842773438,-266.7652587890625,-2.8771514892578125
1727317820617328400,2.264328369140625,-944.5302124023438,-266.98004150390625,-2.86859130859375
1727317820627140400,2.274140380859375,-944.7168579101562,-267.06195068359375,-2.8358917236328125
1727317820636952300,2.283952392578125,-944.4802856445312,-266.73846435546875,-3.1077728271484375
1727317820646764300,2.293764404296875,-944.6281127929688,-266.83355712890625,-2.9995574951171875
1727317820656575500,2.303575439453125,-944.471923828125,-266.79937744140625,-3.0368804931640625
1727317820666386400,2.313386474609375,-944.7666015625,-266.59405517578125,-2.9547119140625
1727317820676197400,2.323197265625,-944.3225708007812,-266.8169250488281,-2.9593963623046875
1727317820686008300,2.33300830078125,-944.7235107421875,-266.83740234375,-2.9341583251953125
1727317820695819300,2.3428193359375,-944.363037109375,-266.9418640136719,-2.9346160888671875
1727317820705630200,2.352630126953125,-944.78955078125,-266.7496337890625,-2.902923583984375
1727317820715440400,2.3624404296875,-944.4972534179688,-266.57574462890625,-3.0359649658203125
1727317820725251300,2.372251220703125,-944.4066162109375,-267.110595703125,-2.7969970703125
1727317820735062300,2.382062255859375,-944.439697265625,-266.7069091796875,-3.0049285888671875
1727317820744873200,2.391873291015625,-944.3314819335938,-267.0213623046875,-2.8695831298828125
1727317820754683100,2.40168310546875,-944.4403686523438,-266.95733642578125,-2.6536102294921875
1727317820764494300,2.411494384765625,-944.2021484375,-266.6781921386719,-2.97247314453125
1727317820774304500,2.421304443359375,-944.1144409179688,-266.99139404296875,-2.80120849609375
1727317820784115200,2.431115234375,-944.4874877929688,-266.61126708984375,-2.7018585205078125
1727317820793926100,2.440926025390625,-944.3270263671875,-266.786865234375,-2.756988525390625
1727317820803736300,2.450736328125,-944.4611206054688,-266.9410400390625,-2.7644805908203125
1727317820813548300,2.46054833984375,-944.3944091796875,-266.6976013183594,-2.7942962646484375
1727317820823359200,2.470359130859375,-944.36328125,-266.9245300292969,-2.91705322265625
1727317820833170400,2.48017041015625,-944.7958984375,-266.849853515625,-2.734954833984375
1727317820842981400,2.4899814453125,-944.2540283203125,-266.94122314453125,-2.8106842041015625
1727317820852792300,2.499792236328125,-944.52294921875,-266.97064208984375,-2.5074615478515625
1727317820862604300,2.509604248046875,-944.6447143554688,-266.7707214355469,-2.7650604248046875
1727317820872414500,2.51941455078125,-944.2604370117188,-266.80621337890625,-2.6430816650390625
1727317820882226200,2.52922607421875,-944.2841186523438,-266.7196044921875,-2.8153533935546875
1727317820892037400,2.539037353515625,-944.55859375,-266.8342590332031,-2.741943359375
1727317820901848300,2.548848388671875,-944.4135131835938,-266.617431640625,-2.9931488037109375
1727317820911660500,2.55866064453125,-944.57568359375,-266.7890319824219,-2.7088623046875
1727317820921471200,2.56847119140625,-944.309326171875,-266.86346435546875,-2.8189239501953125
1727317820931283200,2.578283203125,-944.6322631835938,-266.74444580078125,-2.8546905517578125
1727317820941094400,2.588094482421875,-944.5350952148438,-266.93212890625,-2.8769073486328125
1727317820950906400,2.59790625,-944.4488525390625,-266.7357177734375,-3.035888671875
1727317820960717300,2.60771728515625,-944.6755981445312,-266.69281005859375,-3.105316162109375
1727317820970527500,2.617527587890625,-944.5907592773438,-266.874267578125,-3.006500244140625
1727317820980337400,2.62733740234375,-944.7415771484375,-266.6597595214844,-3.0536956787109375
1727317820990148400,2.6371484375,-944.6390991210938,-266.7681884765625,-2.755279541015625
1727317820999958300,2.646958251953125,-944.8146362304688,-266.7127685546875,-2.9963226318359375
1727317821009769500,2.65676953125,-944.3356323242188,-266.8746337890625,-2.9024200439453125
1727317821019580400,2.666580322265625,-944.87939453125,-266.8577575683594,-2.7784271240234375
1727317821029391400,2.676391357421875,-944.6256103515625,-266.5794372558594,-2.88482666015625
1727317821039202300,2.686202392578125,-944.5904541015625,-266.6912841796875,-2.9466705322265625
1727317821049013500,2.696013427734375,-944.6482543945312,-266.6312561035156,-3.1659393310546875
1727317821058825200,2.7058251953125,-944.7706298828125,-266.87322998046875,-3.04638671875
1727317821068636400,2.715636474609375,-944.7098999023438,-266.8583984375,-2.9207611083984375
1727317821078446300,2.7254462890625,-944.4447021484375,-266.6398010253906,-2.8325347900390625
1727317821088257300,2.73525732421875,-944.5753173828125,-266.6692810058594,-2.9369049072265625
1727317821098068200,2.745068115234375,-944.564453125,-266.85089111328125,-2.9204559326171875
1727317821107881000,2.754880859375,-944.7193603515625,-266.7498779296875,-3.03564453125
1727317821117691400,2.76469140625,-944.7285766601562,-266.72515869140625,-2.83905029296875
1727317821127503000,2.774503173828125,-944.797607421875,-266.807861328125,-2.7000732421875
1727317821137315300,2.7843154296875,-944.7321166992188,-266.8072509765625,-2.836822509765625
1727317821147127000,2.794126953125,-944.9951782226562,-266.5809326171875,-3.0623931884765625
1727317821156939300,2.803939208984375,-944.35498046875,-266.836181640625,-2.8155517578125
1727317821166751200,2.813751220703125,-944.935546875,-266.541748046875,-2.920684814453125
1727317821176563200,2.823563232421875,-944.32421875,-266.7625732421875,-3.0739898681640625
1727317821186375200,2.833375244140625,-944.720947265625,-266.91522216796875,-3.025115966796875
1727317821196187100,2.843187255859375,-944.59912109375,-266.7646179199219,-2.917144775390625
1727317821205998000,2.852998046875,-944.687255859375,-266.860107421875,-2.7305145263671875
1727317821215809000,2.86280908203125,-944.563232421875,-266.8244934082031,-2.8939666748046875
1727317821225621200,2.872621337890625,-944.4884643554688,-266.81927490234375,-2.9652862548828125
1727317821235432200,2.88243212890625,-944.8449096679688,-266.73406982421875,-2.8953704833984375
1727317821245245200,2.8922451171875,-944.57421875,-266.8313293457031,-2.9471435546875
1727317821255057200,2.90205712890625,-944.8770751953125,-266.816650390625,-2.822052001953125
1727317821264869000,2.911869140625,-944.4599609375,-266.8046875,-2.8720703125
1727317821274681000,2.92168115234375,-944.6536865234375,-266.95684814453125,-2.792938232421875
1727317821284493300,2.931493408203125,-944.6065673828125,-266.71051025390625,-2.8628692626953125
1727317821294305000,2.941304931640625,-944.5341186523438,-266.82513427734375,-2.885345458984375
1727317821304116200,2.9511162109375,-944.398193359375,-266.84771728515625,-2.7696990966796875
1727317821313927200,2.96092724609375,-944.515869140625,-266.6630859375,-2.909820556640625
1727317821323739100,2.9707392578125,-944.5882568359375,-266.9452209472656,-2.892822265625
1727317821333551000,2.980551025390625,-944.70849609375,-266.76141357421875,-2.697418212890625
1727317821343362000,2.990362060546875,-944.6058349609375,-266.9793701171875,-2.7881622314453125
1727317821353174300,3.00017431640625,-944.6567993164062,-266.886474609375,-2.58404541015625
1727317821362986000,3.009986083984375,-944.9436645507812,-266.88543701171875,-2.729461669921875
1727317821372797200,3.019797119140625,-944.5677490234375,-267.02740478515625,-2.90545654296875
1727317821382609200,3.029609130859375,-944.7928466796875,-266.84832763671875,-2.80877685546875
1727317821392421000,3.039421142578125,-944.4820556640625,-266.9141540527344,-2.913330078125
1727317821402233000,3.049233154296875,-944.8531494140625,-266.4902648925781,-2.9593658447265625
1727317821412045300,3.05904541015625,-944.6524658203125,-266.69146728515625,-2.824798583984375
1727317821421857000,3.06885693359375,-944.8679809570312,-267.03240966796875,-2.9294586181640625
1727317821431669200,3.078669189453125,-944.7252197265625,-266.7801818847656,-2.8561859130859375
1727317821441480200,3.088480224609375,-944.6167602539062,-266.91522216796875,-2.8868408203125
1727317821451292200,3.098292236328125,-944.8076171875,-266.6351623535156,-2.927734375
