time,seconds_elapsed,rotationRateX,rotationRateY,rotationRateZ,gravityX,gravityY,gravityZ,accelerationX,accelerationY,accelerationZ,quaternionW,quaternionX,quaternionY,quaternionZ
1727317818535939300,0.182939208984375,-0.2900679111480713,-0.027311304584145546,0.03624844551086426,0.18277539312839508,-0.10727013647556305,-0.9772851467132568,-0.0050563812255859375,0.060517266392707825,0.00005125999450683594,0.9943049851062554,0.053942268977956426,0.09191113211856058,-1.7886343520144913e-19
1727317818545913300,0.192913330078125,-0.27739381790161133,-0.021748216822743416,0.025941453874111176,0.18250080943107605,-0.10456038266420364,-0.977630078792572,-0.005483701825141907,0.06467397511005402,-0.0008245110511779785,0.9943916979752113,0.052549719634372764,0.09177954914045403,0.0002744139120997521
1727317818555888000,0.20288818359375,-0.2872898578643799,-0.00445551285520196,0.023000527173280716,0.18235531449317932,-0.10187830030918121,-0.9779403805732727,-0.009961649775505066,0.05498811602592468,-0.00020903348922729492,0.9944696361269256,0.05117376108461463,0.09171186486068976,0.0005277125977753575
1727317818565862100,0.212862060546875,-0.3179912865161896,-0.008522426709532738,0.025456227362155914,0.18224972486495972,-0.09897458553314209,-0.9782581925392151,-0.010573208332061768,0.03365177661180496,-0.0038585662841796875,0.9945493008492248,0.049686493520334676,0.09166331883656856,0.0007814046253990615
1727317818575837400,0.22283740234375,-0.3600492775440216,-0.0023199243005365133,0.016981249675154686,0.18224143981933594,-0.09570835530757904,-0.9785846471786499,-0.013250470161437988,-0.00037617236375808716,-0.0021587610244750977,0.9946312347570923,0.048017166445662125,0.0916625001471977,0.001034267090882714
1727317818585811500,0.2328115234375,-0.3872816860675812,-0.02641487494111061,0.011605393141508102,0.18207493424415588,-0.09204661101102829,-0.9789668917655945,-0.0037913620471954346,-0.005136542022228241,0.0016567111015319824,0.9947269899780654,0.04614973166505642,0.09157928377925831,0.0012767238331963568
1727317818595786200,0.2427861328125,-0.36189350485801697,-0.06104555353522301,-0.0037445351481437683,0.18165765702724457,-0.08836682885885239,-0.9793833494186401,-0.0009937137365341187,0.01706257462501526,-0.0023213624954223633,0.9948314595244817,0.04427908790713218,0.09136560480802894,0.0014577147793634476
1727317818605760300,0.25276025390625,-0.29287874698638916,-0.09389298409223557,-0.006599443964660168,0.18087714910507202,-0.08517196029424667,-0.9798107743263245,0.007248356938362122,0.048367828130722046,-0.005723893642425537,0.9949385906189008,0.04265890466281392,0.09096604284669993,0.0015718921990697096
1727317818615735300,0.2627353515625,-0.227180615067482,-0.09925036877393723,-0.00778244761750102,0.17993688583374023,-0.08259280025959015,-0.9802046418190002,0.005228400230407715,0.08891000598669052,0.0007277131080627441,0.9950375245524455,0.0413549166901947,0.09048452358031331,0.0016213447983192669
1727317818625709300,0.272709228515625,-0.12740224599838257,-0.06614676117897034,0.008134067989885807,0.17911460995674133,-0.08085708320140839,-0.9804999232292175,-0.007651731371879578,0.08647238463163376,0.004563033580780029,0.9951115709301243,0.04047427532097597,0.09006594420257887,0.0016889861345067648
1727317818635684400,0.282684326171875,-0.06494234502315521,-0.03052990883588791,0.015089444816112518,0.17860116064548492,-0.07998809963464737,-0.980664849281311,-0.010296836495399475,0.05929724872112274,0.009122490882873535,0.9951528595153527,0.04002864151787963,0.0898069466201328,0.0017752780394187043
1727317818645658400,0.292658447265625,-0.04131340980529785,-0.011393816210329533,0.0013853784184902906,0.17856450378894806,-0.07946524769067764,-0.9807140231132507,-0.01253373920917511,0.033719465136528015,0.018708407878875732,0.9951650892913461,0.039759278572226775,0.08978969594010715,0.001844077533019014
1727317818655633200,0.302633056640625,-0.04676756262779236,-0.0873413160443306,0.017354223877191544,0.17801381647586823,-0.07907175272703171,-0.9808459281921387,0.006190180778503418,0.014420323073863983,0.002162456512451172,0.9951981189389517,0.03955454279043674,0.08951241478471182,0.0019133533006629117
1727317818665608400,0.3126083984375,-0.056347787380218506,-0.08066805452108383,0.0018726568669080734,0.1771859973669052,-0.07856360822916031,-0.9810366630554199,0.010222330689430237,0.006862632930278778,0.008777141571044922,0.9952458709692631,0.03929407849651315,0.08909353563710896,0.001959018317069103
1727317818675582500,0.32258251953125,-0.032464027404785156,-0.09729177504777908,-0.07293074578046799,0.17651231586933136,-0.0780959501862526,-0.9811953902244568,-0.007338240742683411,0.030213937163352966,0.012048661708831787,0.9952860432642799,0.03907296620858357,0.0887445858023205,0.0017938867005523064
1727317818685557200,0.33255712890625,-0.04417973756790161,-0.2505875825881958,-0.0028383154422044754,0.1747363656759262,-0.07760652899742126,-0.9815520644187927,0.03206588327884674,0.06500283628702164,0.00909411907196045,0.9953759688832401,0.038842626575476484,0.08783636411605206,0.0015966987144400099
1727317818695531300,0.34253125,-0.04837474972009659,-0.19916167855262756,-0.02676521986722946,0.18285581469535828,0.00033768173307180405,-0.98313969373703,-0.02643810212612152,-0.025392554700374603,-0.01328974962234497,0.9957738600610828,0.000019360569360707565,0.0918158926448107,-0.002048878610538825
1727317818705506300,0.35250634765625,-0.009604416787624359,-0.059583038091659546,-0.04752762243151665,0.17688244581222534,0.0031982650980353355,-0.9842267632484436,-0.029864132404327393,-0.01372676994651556,0.027912676334381104,0.9960461250205346,-0.0013967024502919401,0.08879557925875796,-0.002341924109790256
1727317818715480300,0.362480224609375,0.02162514254450798,-0.07294279336929321,-0.05071968957781792,0.17429202795028687,-0.004032816272228956,-0.9846857190132141,-0.023703157901763916,-0.003184530884027481,0.01956731081008911,0.9961614512441942,0.0022223872567769683,0.08747678426526408,-0.002257151534079698
